Variable Name,Solution Value
"prod_mine[2069,mine,brine]",0
"prod_mine[2069,mine,spod]",849.9151773
"prod_mine[2069,mine,clay]",674.0666607
"prod_mine[2070,mine,brine]",0
"prod_mine[2070,mine,spod]",863.7866416
"prod_mine[2070,mine,clay]",686.6665114
"prod_mine[2071,mine,brine]",0
"prod_mine[2071,mine,spod]",877.4453383
"prod_mine[2071,mine,clay]",699.2320347
"prod_mine[2072,mine,brine]",0
"prod_mine[2072,mine,spod]",890.9057942
"prod_mine[2072,mine,clay]",711.7759098
"prod_mine[2073,mine,brine]",0
"prod_mine[2073,mine,spod]",904.182894
"prod_mine[2073,mine,clay]",724.311145
"prod_mine[2074,mine,brine]",0
"prod_mine[2074,mine,spod]",917.2916848
"prod_mine[2074,mine,clay]",736.8509532
"prod_mine[2075,mine,brine]",0
"prod_mine[2075,mine,spod]",930.2472123
"prod_mine[2075,mine,clay]",749.4086447
"prod_mine[2076,mine,brine]",0
"prod_mine[2076,mine,spod]",943.0643814
"prod_mine[2076,mine,clay]",761.9975436
"prod_mine[2077,mine,brine]",0
"prod_mine[2077,mine,spod]",955.7578439
"prod_mine[2077,mine,clay]",774.6309121
"prod_mine[2078,mine,brine]",0
"prod_mine[2078,mine,spod]",968.3419057
"prod_mine[2078,mine,clay]",787.3218973
"prod_mine[2079,mine,brine]",0
"prod_mine[2079,mine,spod]",980.8304572
"prod_mine[2079,mine,clay]",800.0834868
"prod_mine[2080,mine,brine]",0
"prod_mine[2080,mine,spod]",993.2369185
"prod_mine[2080,mine,clay]",812.9284745
"prod_mine[2081,mine,brine]",0
"prod_mine[2081,mine,spod]",1005.5742
"prod_mine[2081,mine,clay]",825.8694417
"prod_mine[2082,mine,brine]",0
"prod_mine[2082,mine,spod]",1017.854679
"prod_mine[2082,mine,clay]",838.9187432
"prod_mine[2083,mine,brine]",0
"prod_mine[2083,mine,spod]",1030.090179
"prod_mine[2083,mine,clay]",852.0884972
"prod_mine[2084,mine,brine]",0
"prod_mine[2084,mine,spod]",1042.29197
"prod_mine[2084,mine,clay]",865.3905914
"prod_mine[2085,mine,brine]",0
"prod_mine[2085,mine,spod]",1054.470764
"prod_mine[2085,mine,clay]",878.8366821
"prod_mine[2086,mine,brine]",0
"prod_mine[2086,mine,spod]",1066.636728
"prod_mine[2086,mine,clay]",892.4382055
"prod_mine[2087,mine,brine]",0
"prod_mine[2087,mine,spod]",1078.799489
"prod_mine[2087,mine,clay]",906.2063926
